Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Caterpie,Bug,45,30,35,20,20,45
Metapod,Bug,50,20,55,25,25,30
Butterfree,Bug|Flying,60,45,50,90,80,70
Weedle,Bug|Poison,40,35,30,20,20,50
Kakuna,Bug|Poison,45,25,50,25,25,35
Beedrill,Bug|Poison,65,90,40,45,80,75
Paras,Bug|Grass,35,70,55,45,55,25
Parasect,Bug|Grass,60,95,80,60,80,30
Venonat,Bug|Poison,60,55,50,40,55,45
Venomoth,Bug|Poison,70,65,60,90,75,90
Scyther,Bug|Flying,70,110,80,55,80,105
Pinsir,Bug,65,125,100,55,70,85
Ledyba,Bug|Flying,40,20,30,40,80,55
Ledian,Bug|Flying,55,35,50,55,110,85
Spinarak,Bug|Poison,40,60,40,40,40,30
Ariados,Bug|Poison,70,90,70,60,60,40
Yanma,Bug|Flying,65,65,45,75,45,95
Pineco,Bug,50,65,90,35,35,15
Forretress,Bug|Steel,75,90,140,60,60,40
Scizor,Bug|Steel,70,130,100,55,80,65
Shuckle,Bug|Rock,20,10,230,10,230,5
Heracross,Bug|Fighting,80,125,75,40,95,85
Wurmple,Bug,45,45,35,20,30,20
Silcoon,Bug,50,35,55,25,25,15
Beautifly,Bug|Flying,60,70,50,100,50,65
Cascoon,Bug,50,35,55,25,25,15
Dustox,Bug|Poison,60,50,70,50,90,65
Surskit,Bug|Water,40,30,32,50,52,65
Masquerain,Bug|Flying,70,60,62,80,82,60
Nincada,Bug|Ground,31,45,90,30,30,40
Ninjask,Bug|Flying,61,90,45,50,50,160
Shedinja,Bug|Ghost,1,90,45,30,30,40
Volbeat,Bug,65,73,75,47,85,85
Illumise,Bug,65,47,75,73,85,85
Anorith,Rock|Bug,45,95,50,40,50,75
Armaldo,Rock|Bug,75,125,100,70,80,45
Kricketot,Bug,37,25,41,25,41,25
Kricketune,Bug,77,85,51,55,51,65
Burmy,Bug,40,29,45,29,45,36
Wormadam,Bug|Grass,60,59,85,79,105,36
Mothim,Bug|Flying,70,94,50,94,50,66
Combee,Bug|Flying,30,30,42,30,42,70
Vespiquen,Bug|Flying,70,80,102,80,102,40
Skorupi,Poison|Bug,40,50,90,30,55,65
Yanmega,Bug|Flying,86,76,86,116,56,95
Sewaddle,Bug|Grass,45,53,70,40,60,42
Swadloon,Bug|Grass,55,63,90,50,80,42
Leavanny,Bug|Grass,75,103,80,70,80,92
Venipede,Bug|Poison,30,45,59,30,39,57
Whirlipede,Bug|Poison,40,55,99,40,79,47
Scolipede,Bug|Poison,60,100,89,55,69,112
