Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Umbreon,Dark,95,65,110,60,130,65
Murkrow,Dark|Flying,60,85,42,85,42,91
Sneasel,Dark|Ice,55,95,55,35,75,115
Houndour,Dark|Fire,45,60,30,80,50,65
Houndoom,Dark|Fire,75,90,50,110,80,95
Tyranitar,Rock|Dark,100,134,110,95,100,61
Poochyena,Dark,35,55,35,30,30,35
Mightyena,Dark,70,90,70,60,60,70
Nuzleaf,Grass|Dark,70,70,40,60,40,60
Shiftry,Grass|Dark,90,100,60,90,60,80
Sableye,Dark|Ghost,50,75,75,65,65,50
Carvanha,Water|Dark,45,90,20,65,20,65
Sharpedo,Water|Dark,70,120,40,95,40,95
Cacturne,Grass|Dark,70,115,60,115,60,55
Crawdaunt,Water|Dark,63,120,85,90,55,55
Absol,Dark,65,130,60,75,60,75
Honchkrow,Dark|Flying,100,125,52,105,52,71
Stunky,Poison|Dark,63,63,47,41,41,74
Skuntank,Poison|Dark,103,93,67,71,61,84
Spiritomb,Ghost|Dark,50,92,108,92,108,35
Drapion,Poison|Dark,70,90,110,60,75,95
Weavile,Dark|Ice,70,120,65,45,85,125
Darkrai,Dark,70,90,90,135,90,125
Sandile,Ground|Dark,50,72,35,35,35,65
Krokorok,Ground|Dark,60,82,45,45,45,74
Krookodile,Ground|Dark,95,117,80,65,70,92
Scraggy,Dark|Fighting,50,75,70,35,70,48
Scrafty,Dark|Fighting,65,90,115,45,115,58
Zorua,Dark,40,65,40,80,40,65
Zoroark,Dark,60,105,60,120,60,105
Pawniard,Dark|Steel,45,85,70,40,40,60
Bisharp,Dark|Steel,65,125,100,60,70,70
Vullaby,Dark|Flying,70,55,75,45,65,60
Mandibuzz,Dark|Flying,110,65,105,55,95,80
Deino,Dark|Dragon,52,65,50,45,50,38
Zweilous,Dark|Dragon,72,85,70,65,70,58
Hydreigon,Dark|Dragon,92,105,90,125,90,98
Inkay,Dark|Psychic,53,54,53,37,46,45
Malamar,Dark|Psychic,86,92,88,68,75,73
Yveltal,Dark|Flying,126,131,95,131,98,99
Guzzlord,Dark|Dragon,223,101,53,97,53,43
Impidimp,Dark|Fairy,45,45,30,55,40,50
Morgrem,Dark|Fairy,65,60,45,75,55,70
Grimmsnarl,Dark|Fairy,95,120,65,95,75,60
Obstagoon,Dark|Normal,93,90,101,60,81,95
Morpeko,Electric|Dark,58,95,58,70,58,97
Zarude,Dark|Grass,105,120,105,70,95,105
Meowscarada,Grass|Dark,76,110,70,81,70,123
Roaring Moon,Dragon|Dark,105,139,71,55,101,119
Iron Jugulis,Dark|Flying,94,80,86,122,80,108
