Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Dratini,Dragon,41,64,45,50,50,50
Dragonair,Dragon,61,84,65,70,70,70
Dragonite,Dragon|Flying,91,134,95,100,100,80
Kingdra,Water|Dragon,75,95,95,95,95,85
Vibrava,Ground|Dragon,50,70,50,50,50,70
Flygon,Ground|Dragon,80,100,80,80,80,100
Altaria,Dragon|Flying,75,70,90,70,105,80
Bagon,Dragon,45,75,60,40,30,50
Shelgon,Dragon,65,95,100,60,50,50
Salamence,Dragon|Flying,95,135,80,110,80,100
Latias,Dragon|Psychic,80,80,90,110,130,110
Latios,Dragon|Psychic,80,90,80,130,110,110
Rayquaza,Dragon|Flying,105,150,90,150,90,95
Gible,Dragon|Ground,58,70,45,40,45,42
Gabite,Dragon|Ground,68,90,65,50,55,82
Garchomp,Dragon|Ground,108,130,95,80,85,102
Dialga,Steel|Dragon,100,120,120,150,100,90
Palkia,Water|Dragon,90,120,100,150,120,100
Giratina,Ghost|Dragon,150,100,120,100,120,90
Axew,Dragon,46,87,60,30,40,57
Fraxure,Dragon,66,117,70,40,50,67
Haxorus,Dragon,76,147,90,60,70,97
Druddigon,Dragon,77,120,90,60,90,48
Deino,Dark|Dragon,52,65,50,45,50,38
Zweilous,Dark|Dragon,72,85,70,65,70,58
Hydreigon,Dark|Dragon,92,105,90,125,90,98
Reshiram,Dragon|Fire,100,120,100,150,120,90
Zekrom,Dragon|Electric,100,150,120,120,100,90
Kyurem,Dragon|Ice,125,130,90,130,90,95
Dragalge,Poison|Dragon,65,75,90,97,123,44
Tyrunt,Rock|Dragon,58,89,77,45,45,48
Tyrantrum,Rock|Dragon,82,121,119,69,59,71
Noibat,Flying|Dragon,40,30,35,45,40,55
Noivern,Flying|Dragon,85,70,80,97,80,123
Jangmo-o,Dragon,45,55,65,45,45,45
Hakamo-o,Dragon,55,75,90,65,70,65
Kommo-o,Dragon|Fighting,75,110,125,100,105,85
Naganadel,Poison|Dragon,73,73,73,127,73,121
Dracozolt,Electric|Dragon,90,100,90,80,70,75
Dracovish,Water|Dragon,90,90,100,70,80,75
Duraludon,Steel|Dragon,70,95,115,120,50,85
Dragapult,Dragon|Ghost,88,120,75,100,75,142
Eternatus,Poison|Dragon,140,85,95,145,95,130
Regidrago,Dragon,200,100,50,100,50,80
Cyclizar,Dragon|Normal,70,95,65,85,65,121
Koraidon,Fighting|Dragon,100,135,115,85,100,135
Miraidon,Electric|Dragon,100,85,100,135,115,135
Roaring Moon,Dragon|Dark,105,139,71,55,101,119
Baxcalibur,Dragon|Ice,115,145,92,75,86,87
