Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Pikachu,Electric,35,55,40,50,50,90
Raichu,Electric,60,90,55,90,80,110
Magnemite,Electric|Steel,25,35,70,95,55,45
Magneton,Electric|Steel,50,60,95,120,70,70
Voltorb,Electric,40,30,50,55,55,100
Electrode,Electric,60,50,70,80,80,150
Electabuzz,Electric,65,83,57,95,85,105
Jolteon,Electric,65,65,60,110,95,130
Zapdos,Electric|Flying,90,90,85,125,90,100
Chinchou,Water|Electric,75,38,38,56,56,67
Lanturn,Water|Electric,125,58,58,76,76,67
Pichu,Electric,20,40,15,35,35,60
Mareep,Electric,55,40,40,65,45,35
Flaaffy,Electric,70,55,55,80,60,45
Ampharos,Electric,90,75,85,115,90,55
Elekid,Electric,45,63,37,65,55,95
Raikou,Electric,90,85,75,115,100,115
Electrike,Electric,40,45,40,65,40,65
Manectric,Electric,70,75,60,105,60,105
Plusle,Electric,60,50,40,85,75,95
Minun,Electric,60,40,50,75,85,95
Shinx,Electric,45,65,34,40,34,45
Luxio,Electric,60,85,49,60,49,60
Luxray,Electric,80,120,79,95,79,70
Pachirisu,Electric,60,45,70,45,90,95
Magnezone,Electric|Steel,70,70,115,130,90,60
Rotom,Electric|Ghost,50,50,77,95,77,91
Blitzle,Electric,45,60,32,50,32,76
Zebstrika,Electric,75,100,63,80,63,116
Emolga,Electric|Flying,55,75,60,75,60,103
Joltik,Bug|Electric,50,47,50,57,50,65
Galvantula,Bug|Electric,70,77,60,97,60,108
Tynamo,Electric,35,55,40,45,40,60
Eelektrik,Electric,65,85,70,75,70,40
Eelektross,Electric,85,115,80,105,80,50
Stunfisk,Ground|Electric,109,66,84,81,99,32
Helioptile,Electric|Normal,44,38,33,61,43,70
Heliolisk,Electric|Normal,62,55,52,109,94,109
Dedenne,Electric|Fairy,67,58,57,81,67,101
Togedemaru,Electric|Steel,65,98,63,40,73,96
Xurkitree,Electric,83,89,71,173,71,83
Tapu Koko,Electric|Fairy,70,115,85,95,75,130
Zeraora,Electric,88,112,75,102,80,143
Yamper,Electric,59,45,50,40,50,26
Boltund,Electric,69,90,60,90,60,121
Pincurchin,Electric,48,101,95,91,85,15
Dracozolt,Electric|Dragon,90,100,90,80,70,75
Arctozolt,Electric|Ice,90,100,90,90,80,55
Regieleki,Electric,80,100,50,100,50,200
Miraidon,Electric|Dragon,100,85,100,135,115,135
