Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Clefairy,Fairy,70,45,48,60,65,35
Clefable,Fairy,95,70,73,95,90,60
Jigglypuff,Normal|Fairy,115,45,20,45,25,20
Wigglytuff,Normal|Fairy,140,70,45,85,50,45
Togepi,Fairy,35,20,65,40,65,20
Togetic,Fairy|Flying,55,40,85,80,105,40
Marill,Water|Fairy,70,20,50,20,50,40
Azumarill,Water|Fairy,100,50,80,60,80,50
Snubbull,Fairy,60,80,50,40,40,30
Granbull,Fairy,90,120,75,60,60,45
Ralts,Psychic|Fairy,28,25,25,45,35,40
Kirlia,Psychic|Fairy,38,35,35,65,55,50
Gardevoir,Psychic|Fairy,68,65,65,125,115,80
Mawile,Steel|Fairy,50,85,85,55,55,50
Azurill,Normal|Fairy,50,20,40,20,40,20
Mime Jr.,Psychic|Fairy,20,25,45,70,90,60
Togekiss,Fairy|Flying,85,50,95,120,115,80
Flabébé,Fairy,44,38,39,61,79,42
Floette,Fairy,54,45,47,75,98,52
Florges,Fairy,78,65,68,112,154,75
Sylveon,Fairy,95,65,65,110,130,60
Spritzee,Fairy,78,52,60,63,65,23
Aromatisse,Fairy,101,72,72,99,89,29
Swirlix,Fairy,62,48,66,59,57,49
Slurpuff,Fairy,82,80,86,85,75,72
Dedenne,Electric|Fairy,67,58,57,81,67,101
Carbink,Rock|Fairy,50,50,150,50,150,50
Klefki,Steel|Fairy,57,80,91,80,87,75
Xerneas,Fairy,126,131,95,131,98,99
Primarina,Water|Fairy,80,74,74,126,116,60
Tapu Koko,Electric|Fairy,70,115,85,95,75,130
Tapu Lele,Psychic|Fairy,70,85,75,130,115,95
Tapu Bulu,Grass|Fairy,70,130,115,85,95,75
Tapu Fini,Water|Fairy,70,75,115,95,130,85
Magearna,Steel|Fairy,80,95,115,130,115,65
Ribombee,Bug|Fairy,60,55,60,95,70,124
Mimikyu,Ghost|Fairy,55,90,80,50,105,96
Hatterene,Psychic|Fairy,57,90,95,136,103,29
Impidimp,Dark|Fairy,45,45,30,55,40,50
Morgrem,Dark|Fairy,65,60,45,75,55,70
Grimmsnarl,Dark|Fairy,95,120,65,95,75,60
Alcremie,Fairy,65,60,75,110,121,64
Zacian (Crowned Sword),Fairy|Steel,92,170,115,80,115,148
Indeedee,Psychic|Fairy,60,65,55,105,95,95
Zacian,Fairy,92,130,115,80,115,138
Comfey,Fairy,51,52,90,82,110,100
Togedemaru,Electric|Fairy,65,98,63,40,73,96
Diancie,Rock|Fairy,50,100,150,100,150,50
Galarian Weezing,Poison|Fairy,65,90,120,85,70,60
