Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Machop,Fighting,70,80,50,35,35,35
Machoke,Fighting,80,100,70,50,60,45
Machamp,Fighting,90,130,80,65,85,55
Mankey,Fighting,40,80,35,35,45,70
Primeape,Fighting,65,105,60,60,70,95
Hitmonlee,Fighting,50,120,53,35,110,87
Hitmonchan,Fighting,50,105,79,35,110,76
Heracross,Bug|Fighting,80,125,75,40,95,85
Tyrogue,Fighting,35,35,35,35,35,35
Hitmontop,Fighting,50,95,95,35,110,70
Combusken,Fire|Fighting,60,85,60,85,60,55
Blaziken,Fire|Fighting,80,120,70,110,70,80
Breloom,Grass|Fighting,60,130,80,60,60,70
Makuhita,Fighting,72,60,30,20,30,25
Hariyama,Fighting,144,120,60,40,60,50
Meditite,Fighting|Psychic,30,40,55,40,55,60
Medicham,Fighting|Psychic,60,60,75,60,75,80
Monferno,Fire|Fighting,64,78,52,78,52,81
Infernape,Fire|Fighting,76,104,71,104,71,108
Riolu,Fighting,40,70,40,35,40,60
Lucario,Fighting|Steel,70,110,70,115,70,90
Croagunk,Poison|Fighting,48,61,40,61,40,50
Toxicroak,Poison|Fighting,83,106,65,86,65,85
Gallade,Psychic|Fighting,68,125,65,65,115,80
Pignite,Fire|Fighting,90,93,55,70,55,55
Emboar,Fire|Fighting,110,123,65,100,65,65
Throh,Fighting,120,100,85,30,85,45
Sawk,Fighting,75,125,75,30,75,85
Scraggy,Dark|Fighting,50,75,70,35,70,48
Scrafty,Dark|Fighting,65,90,115,45,115,58
Mienfoo,Fighting,45,85,50,55,50,65
Mienshao,Fighting,65,125,60,95,60,105
Cobalion,Steel|Fighting,91,90,129,90,72,108
Terrakion,Rock|Fighting,91,129,90,72,90,108
Virizion,Grass|Fighting,91,90,72,90,129,108
Keldeo,Water|Fighting,91,72,90,129,90,108
Chespin,Grass|Fighting,56,61,65,48,45,38
Chesnaught,Grass|Fighting,88,107,122,74,75,64
Pangoro,Fighting|Dark,95,124,78,69,71,58
Hawlucha,Fighting|Flying,78,92,75,74,63,118
Crabrawler,Fighting,47,82,57,42,47,63
Crabominable,Fighting|Ice,97,132,77,62,67,43
Buzzwole,Bug|Fighting,107,139,139,53,53,79
Marshadow,Ghost|Fighting,90,125,80,90,90,125
Zamazenta (Crowned),Fighting,92,130,115,80,115,138
Urshifu,Single-Strike|Fighting,100,130,100,63,60,97
Zarude,Grass|Fighting,105,120,105,70,95,105
Galarian Zapdos,Fighting|Flying,90,125,90,85,90,100
Sneasler,Fighting|Poison,80,130,60,40,80,120
Koraidon,Fighting|Dragon,100,135,115,85,100,135
