Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Charmander,Fire,39,52,43,60,50,65
Charmeleon,Fire,58,64,58,80,65,80
Charizard,Fire|Flying,78,84,78,109,85,100
Vulpix,Fire,38,41,40,50,65,65
Ninetales,Fire,73,76,75,81,100,100
Growlithe,Fire,55,70,45,70,50,60
Arcanine,Fire,90,110,80,100,80,95
Ponyta,Fire,50,85,55,65,65,90
Rapidash,Fire,65,100,70,80,80,105
Magmar,Fire,65,95,57,100,85,93
Flareon,Fire,65,130,60,95,110,65
Moltres,Fire|Flying,90,100,90,125,85,90
Cyndaquil,Fire,39,52,43,60,50,65
Quilava,Fire,58,64,58,80,65,80
Typhlosion,Fire,78,84,78,109,85,100
Slugma,Fire,40,40,40,70,40,20
Magcargo,Fire|Rock,50,50,120,80,80,30
Houndour,Dark|Fire,45,60,30,80,50,65
Houndoom,Dark|Fire,75,90,50,110,80,95
Magby,Fire,45,75,37,70,55,83
Entei,Fire,115,115,85,90,75,100
Torchic,Fire,45,60,40,70,50,45
Combusken,Fire|Fighting,60,85,60,85,60,55
Blaziken,Fire|Fighting,80,120,70,110,70,80
Numel,Fire|Ground,60,60,40,65,45,35
Camerupt,Fire|Ground,70,100,70,105,75,40
Torkoal,Fire,70,85,140,85,70,20
Sunny Castform,Fire,70,70,70,70,70,70
Heatran,Fire|Steel,91,90,106,130,106,77
Victini,Psychic|Fire,100,100,100,100,100,100
Tepig,Fire,65,63,45,45,45,45
Pignite,Fire|Fighting,90,93,55,70,55,55
Emboar,Fire|Fighting,110,123,65,100,65,65
Pansear,Fire,50,53,48,53,48,64
Simisear,Fire,75,98,63,98,63,101
Darumaka,Fire,70,90,45,15,45,50
Darmanitan,Fire,105,140,55,30,55,95
Litwick,Ghost|Fire,50,30,55,65,55,20
Lampent,Ghost|Fire,60,40,60,95,60,55
Chandelure,Ghost|Fire,60,55,90,145,90,80
Larvesta,Bug|Fire,55,85,55,50,55,60
Volcarona,Bug|Fire,85,60,65,135,105,100
Fennekin,Fire,40,45,40,62,60,60
Braixen,Fire,59,59,58,90,70,73
Delphox,Fire|Psychic,75,69,72,114,100,104
Litten,Fire,45,65,40,60,40,70
Torracat,Fire,65,85,50,80,50,90
Incineroar,Fire|Dark,95,115,90,80,90,60
Fletchinder,Fire|Flying,62,73,55,56,52,84
Talonflame,Fire|Flying,78,81,71,74,69,126
Scorbunny,Fire,50,71,40,40,40,69
