Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Pidgey,Normal|Flying,40,45,40,35,35,56
Pidgeotto,Normal|Flying,63,60,55,50,50,71
Pidgeot,Normal|Flying,83,80,75,70,70,101
Spearow,Normal|Flying,40,60,30,31,31,70
Fearow,Normal|Flying,65,90,65,61,61,100
Zubat,Poison|Flying,40,45,35,30,40,55
Golbat,Poison|Flying,75,80,70,65,75,90
Farfetch'd,Normal|Flying,52,90,55,58,62,60
Doduo,Normal|Flying,35,85,45,35,35,75
Dodrio,Normal|Flying,60,110,70,60,60,110
Scyther,Bug|Flying,70,110,80,55,80,105
Gyarados,Water|Flying,95,125,79,60,100,81
Aerodactyl,Rock|Flying,80,105,65,60,75,130
Articuno,Ice|Flying,90,85,100,95,125,85
Zapdos,Electric|Flying,90,90,85,125,90,100
Moltres,Fire|Flying,90,100,90,125,85,90
Dragonite,Dragon|Flying,91,134,95,100,100,80
Hoothoot,Normal|Flying,60,30,30,36,56,50
Noctowl,Normal|Flying,100,50,50,86,96,70
Ledyba,Bug|Flying,40,20,30,40,80,55
Ledian,Bug|Flying,55,35,50,55,110,85
Crobat,Poison|Flying,85,90,80,70,80,130
Togetic,Fairy|Flying,55,40,85,80,105,40
Xatu,Psychic|Flying,65,75,70,95,70,95
Murkrow,Dark|Flying,60,85,42,85,42,91
Gligar,Ground|Flying,65,75,105,35,65,85
Delibird,Ice|Flying,45,55,45,65,45,75
Mantine,Water|Flying,85,40,70,80,140,70
Skarmory,Steel|Flying,65,80,140,40,70,70
Lugia,Psychic|Flying,106,90,130,90,154,110
Ho-Oh,Fire|Flying,106,130,90,110,154,90
Beautifly,Bug|Flying,60,70,50,100,50,65
Masquerain,Bug|Flying,70,60,62,80,82,60
Ninjask,Bug|Flying,61,90,45,50,50,160
Swablu,Normal|Flying,45,40,60,40,75,50
Altaria,Dragon|Flying,75,70,90,70,105,80
Tropius,Grass|Flying,99,68,83,72,87,51
Salamence,Dragon|Flying,95,135,80,110,80,100
Rayquaza,Dragon|Flying,105,150,90,150,90,95
Starly,Normal|Flying,40,55,30,30,30,60
Staravia,Normal|Flying,55,75,50,40,40,80
Staraptor,Normal|Flying,85,120,70,50,60,100
Honchkrow,Dark|Flying,100,125,52,105,52,71
Chatot,Normal|Flying,76,65,45,92,42,91
Mantyke,Water|Flying,45,20,50,60,120,50
Tornadus,Flying,79,115,70,125,80,111
Thundurus,Electric|Flying,79,115,70,125,80,111
Landorus,Ground|Flying,89,125,90,115,80,101
Fletchling,Normal|Flying,45,50,43,40,38,62
Fletchinder,Fire|Flying,62,73,55,56,52,84
Talonflame,Fire|Flying,78,81,71,74,69,126
