Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Bulbasaur,Grass|Poison,45,49,49,65,65,45
Ivysaur,Grass|Poison,60,62,63,80,80,60
Venusaur,Grass|Poison,80,82,83,100,100,80
Oddish,Grass|Poison,45,50,55,75,65,30
Gloom,Grass|Poison,60,65,70,85,75,40
Vileplume,Grass|Poison,75,80,85,110,90,50
Bellsprout,Grass|Poison,50,75,35,70,30,40
Weepinbell,Grass|Poison,65,90,50,85,45,55
Victreebel,Grass|Poison,80,105,65,100,70,70
Exeggcute,Grass|Psychic,60,40,80,60,45,40
Exeggutor,Grass|Psychic,95,95,85,125,75,55
Tangela,Grass,65,55,115,100,40,60
Chikorita,Grass,45,49,65,49,65,45
Bayleef,Grass,60,62,80,63,80,60
Meganium,Grass,80,82,100,83,100,80
Hoppip,Grass|Flying,35,35,40,35,55,50
Skiploom,Grass|Flying,55,45,50,45,65,80
Jumpluff,Grass|Flying,75,55,70,55,95,110
Sunkern,Grass,30,30,30,30,30,30
Sunflora,Grass,75,75,55,105,85,30
Treecko,Grass,40,45,35,65,55,70
Grovyle,Grass,50,65,45,85,65,95
Sceptile,Grass,70,85,65,105,85,120
Lotad,Water|Grass,40,30,30,40,50,30
Lombre,Water|Grass,60,50,50,60,70,50
Ludicolo,Water|Grass,80,70,70,90,100,70
Seedot,Grass,40,40,50,30,30,30
Nuzleaf,Grass|Dark,70,70,40,60,40,60
Shiftry,Grass|Dark,90,100,60,90,60,80
Shroomish,Grass,60,40,60,40,60,35
Breloom,Grass|Fighting,60,130,80,60,60,70
Roselia,Grass|Poison,50,60,45,100,80,65
Cacnea,Grass,50,85,40,85,40,35
Cacturne,Grass|Dark,70,115,60,115,60,55
Lileep,Rock|Grass,66,41,77,61,87,23
Cradily,Rock|Grass,86,81,97,81,107,43
Tropius,Grass|Flying,99,68,83,72,87,51
Turtwig,Grass,55,68,64,45,55,31
Grotle,Grass,75,89,85,55,65,36
Torterra,Grass|Ground,95,109,105,75,85,56
Budew,Grass|Poison,40,30,35,50,70,55
Roserade,Grass|Poison,60,70,65,125,105,90
Cherubi,Grass,45,35,45,62,53,35
Cherrim,Grass,70,60,70,87,78,85
Snover,Grass|Ice,60,62,50,62,60,40
Abomasnow,Grass|Ice,90,92,75,92,85,60
Tangrowth,Grass,100,100,125,110,50,50
Leafeon,Grass,65,110,130,60,65,95
Snivy,Grass,45,45,55,45,55,63
Servine,Grass,60,60,75,60,75,83
