Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Sandshrew,Ground,50,75,85,20,30,40
Sandslash,Ground,75,100,110,45,55,65
Nidoqueen,Poison|Ground,90,92,87,75,85,76
Nidoking,Poison|Ground,81,102,77,85,75,85
Diglett,Ground,10,55,25,35,45,95
Dugtrio,Ground,35,80,50,50,70,120
Geodude,Rock|Ground,40,80,100,30,30,20
Graveler,Rock|Ground,55,95,115,45,45,35
Golem,Rock|Ground,80,120,130,55,65,45
Onix,Rock|Ground,35,45,160,30,45,70
Cubone,Ground,50,50,95,40,50,35
Marowak,Ground,60,80,110,50,80,45
Rhyhorn,Ground|Rock,80,85,95,30,30,25
Rhydon,Ground|Rock,105,130,120,45,45,40
Wooper,Water|Ground,55,45,45,25,25,15
Quagsire,Water|Ground,95,85,85,65,65,35
Gligar,Ground|Flying,65,75,105,35,65,85
Swinub,Ice|Ground,50,50,40,30,30,50
Piloswine,Ice|Ground,100,100,80,60,60,50
Phanpy,Ground,90,60,60,40,40,40
Donphan,Ground,90,120,120,60,60,50
Larvitar,Rock|Ground,50,64,50,45,50,41
Pupitar,Rock|Ground,70,84,70,65,70,51
Marshtomp,Water|Ground,70,85,70,60,70,50
Swampert,Water|Ground,100,110,90,85,90,60
Numel,Fire|Ground,60,60,40,65,45,35
Camerupt,Fire|Ground,70,100,70,105,75,40
Barboach,Water|Ground,50,48,43,46,41,60
Whiscash,Water|Ground,110,78,73,76,71,60
Baltoy,Ground|Psychic,40,40,55,40,70,55
Claydol,Ground|Psychic,60,70,105,70,120,75
Groudon,Ground,100,150,140,100,90,90
Torterra,Grass|Ground,95,109,105,75,85,56
Gastrodon,Water|Ground,111,83,68,92,82,39
Hippopotas,Ground,68,72,78,38,42,32
Hippowdon,Ground,108,112,118,68,72,47
Rhyperior,Ground|Rock,115,140,130,55,55,40
Drilbur,Ground,60,85,40,30,45,68
Excadrill,Ground|Steel,110,135,60,50,65,88
Sandile,Ground|Dark,50,72,35,35,35,65
Krokorok,Ground|Dark,60,82,45,45,45,74
Krookodile,Ground|Dark,95,117,80,65,70,92
Golett,Ground|Ghost,59,74,50,35,50,35
Golurk,Ground|Ghost,89,124,80,55,80,55
Landorus,Ground|Flying,89,125,90,115,80,101
Mudbray,Ground,70,100,70,45,55,45
Mudsdale,Ground,100,125,100,55,85,35
Palossand,Ghost|Ground,85,75,110,100,75,35
