Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Pidgey,Normal|Flying,40,45,40,35,35,56
Pidgeotto,Normal|Flying,63,60,55,50,50,71
Pidgeot,Normal|Flying,83,80,75,70,70,101
Rattata,Normal,30,56,35,25,35,72
Raticate,Normal,55,81,60,50,70,97
Spearow,Normal|Flying,40,60,30,31,31,70
Fearow,Normal|Flying,65,90,65,61,61,100
Jigglypuff,Normal|Fairy,115,45,20,45,25,20
Wigglytuff,Normal|Fairy,140,70,45,85,50,45
Meowth,Normal,40,45,35,40,40,90
Persian,Normal,65,70,60,65,65,115
Farfetch'd,Normal|Flying,52,90,55,58,62,60
Doduo,Normal|Flying,35,85,45,35,35,75
Dodrio,Normal|Flying,60,110,70,60,60,110
Lickitung,Normal,90,55,75,60,75,30
Chansey,Normal,250,5,5,35,105,50
Kangaskhan,Normal,105,95,80,40,80,90
Tauros,Normal,75,100,95,40,70,110
Ditto,Normal,48,48,48,48,48,48
Eevee,Normal,55,55,50,45,65,55
Porygon,Normal,65,60,70,85,75,40
Sentret,Normal,35,46,34,35,45,20
Furret,Normal,85,76,64,45,55,90
Hoothoot,Normal|Flying,60,30,30,36,56,50
Noctowl,Normal|Flying,100,50,50,86,96,70
Igglybuff,Normal|Fairy,90,30,15,40,20,15
Aipom,Normal,55,70,55,40,55,85
Girafarig,Normal|Psychic,70,80,65,90,65,85
Dunsparce,Normal,100,70,70,65,65,45
Teddiursa,Normal,60,80,50,50,50,40
Ursaring,Normal,90,130,75,75,75,55
Porygon2,Normal,85,80,90,105,95,60
Stantler,Normal,73,95,62,85,65,85
Smeargle,Normal,55,20,35,20,45,75
Miltank,Normal,95,80,105,40,70,100
Blissey,Normal,255,10,10,75,135,55
Zigzagoon,Normal,38,30,41,30,41,60
Linoone,Normal,78,70,61,50,61,100
Taillow,Normal|Flying,40,55,30,30,30,85
Swellow,Normal|Flying,60,85,60,75,50,125
Slakoth,Normal,60,60,60,35,35,30
Vigoroth,Normal,80,80,80,55,55,90
Slaking,Normal,150,160,100,95,65,100
Whismur,Normal,64,51,23,51,23,28
Loudred,Normal,84,71,43,71,43,48
Exploud,Normal,104,91,63,91,73,68
Azurill,Normal|Fairy,50,20,40,20,40,20
Skitty,Normal,50,45,45,35,35,50
Delcatty,Normal,70,65,65,55,55,70
