Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Bulbasaur,Grass|Poison,45,49,49,65,65,45
Ivysaur,Grass|Poison,60,62,63,80,80,60
Venusaur,Grass|Poison,80,82,83,100,100,80
Weedle,Bug|Poison,40,35,30,20,20,50
Kakuna,Bug|Poison,45,25,50,25,25,35
Beedrill,Bug|Poison,65,90,40,45,80,75
Ekans,Poison,35,60,44,40,54,55
Arbok,Poison,60,95,69,65,79,80
Nidoran♀,Poison,55,47,52,40,40,41
Nidorina,Poison,70,62,67,55,55,56
Nidoqueen,Poison|Ground,90,92,87,75,85,76
Nidoran♂,Poison,46,57,40,40,40,50
Nidorino,Poison,61,72,57,55,55,65
Nidoking,Poison|Ground,81,102,77,85,75,85
Zubat,Poison|Flying,40,45,35,30,40,55
Golbat,Poison|Flying,75,80,70,65,75,90
Oddish,Grass|Poison,45,50,55,75,65,30
Gloom,Grass|Poison,60,65,70,85,75,40
Vileplume,Grass|Poison,75,80,85,110,90,50
Bellsprout,Grass|Poison,50,75,35,70,30,40
Weepinbell,Grass|Poison,65,90,50,85,45,55
Victreebel,Grass|Poison,80,105,65,100,70,70
Tentacool,Water|Poison,40,40,35,50,100,70
Tentacruel,Water|Poison,80,70,65,80,120,100
Grimer,Poison,80,80,50,40,50,25
Muk,Poison,105,105,75,65,100,50
Gastly,Ghost|Poison,30,35,30,100,35,80
Haunter,Ghost|Poison,45,50,45,115,55,95
Gengar,Ghost|Poison,60,65,60,130,75,110
Koffing,Poison,40,65,95,60,45,35
Weezing,Poison,65,90,120,85,70,60
Qwilfish,Water|Poison,65,95,85,55,55,85
Dustox,Bug|Poison,60,50,70,50,90,65
Roselia,Grass|Poison,50,60,45,100,80,65
Gulpin,Poison,70,43,53,43,53,40
Swalot,Poison,100,73,83,73,83,55
Seviper,Poison,73,100,60,100,60,65
Stunky,Poison|Dark,63,63,47,41,41,74
Skuntank,Poison|Dark,103,93,67,71,61,84
Croagunk,Poison|Fighting,48,61,40,61,40,50
Toxicroak,Poison|Fighting,83,106,65,86,65,85
Venipede,Bug|Poison,30,45,59,30,39,57
Whirlipede,Bug|Poison,40,55,99,40,79,47
Scolipede,Bug|Poison,60,100,89,55,69,112
Trubbish,Poison,50,50,62,40,62,65
Garbodor,Poison,80,95,82,60,82,75
Foongus,Grass|Poison,69,55,45,55,55,15
Amoonguss,Grass|Poison,114,85,70,85,80,30
Salandit,Poison|Fire,48,44,40,71,40,77
Salazzle,Poison|Fire,68,64,60,111,60,117
Toxapex,Water|Poison,50,63,152,53,142,35
Naganadel,Poison|Dragon,73,73,73,127,73,121
Galarian Slowking,Poison|Psychic,95,65,80,110,110,30
Eternatus,Poison|Dragon,140,85,95,145,95,130
