Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Abra,Psychic,25,20,15,105,55,90
Kadabra,Psychic,40,35,30,120,70,105
Alakazam,Psychic,55,50,45,135,95,120
Slowpoke,Water|Psychic,90,65,65,40,40,15
Slowbro,Water|Psychic,95,75,110,100,80,30
Drowzee,Psychic,60,48,45,43,90,42
Hypno,Psychic,85,73,70,73,115,67
Exeggcute,Grass|Psychic,60,40,80,60,45,40
Exeggutor,Grass|Psychic,95,95,85,125,75,55
Starmie,Water|Psychic,60,75,85,100,85,115
Mr. Mime,Psychic|Fairy,40,45,65,100,120,90
Jynx,Ice|Psychic,65,50,35,115,95,95
Mewtwo,Psychic,106,110,90,154,90,130
Mew,Psychic,100,100,100,100,100,100
Natu,Psychic|Flying,40,50,45,70,45,70
Xatu,Psychic|Flying,65,75,70,95,70,95
Espeon,Psychic,65,65,60,130,95,110
Unown,Psychic,48,72,48,72,48,48
Wobbuffet,Psychic,190,33,58,33,58,33
Girafarig,Normal|Psychic,70,80,65,90,65,85
Smoochum,Ice|Psychic,45,30,15,85,65,65
Lugia,Psychic|Flying,106,90,130,90,154,110
Gardevoir,Psychic|Fairy,68,65,65,125,115,80
Ralts,Psychic|Fairy,28,25,25,45,35,40
Kirlia,Psychic|Fairy,38,35,35,65,55,50
Metagross,Steel|Psychic,80,135,130,95,90,70
Metang,Steel|Psychic,60,75,100,55,80,50
Baltoy,Ground|Psychic,40,40,55,40,70,55
Claydol,Ground|Psychic,60,70,105,70,120,75
Bronzor,Steel|Psychic,57,24,86,24,86,23
Bronzong,Steel|Psychic,67,89,116,79,116,33
Mime Jr.,Psychic|Fairy,20,25,45,70,90,60
Gallade,Psychic|Fighting,68,125,65,65,115,80
Uxie,Psychic,75,75,130,75,130,95
Mesprit,Psychic,80,105,105,105,105,80
Azelf,Psychic,75,125,70,125,70,115
Cresselia,Psychic,120,70,120,75,130,85
Solosis,Psychic,45,30,40,105,50,20
Duosion,Psychic,65,40,50,125,60,30
Reuniclus,Psychic,110,65,75,125,85,30
Gothita,Psychic,45,30,50,55,65,45
Gothorita,Psychic,60,45,70,75,85,55
Gothitelle,Psychic,70,55,95,95,110,65
Elgyem,Psychic,55,55,55,85,55,30
Beheeyem,Psychic,75,75,75,125,95,40
Espurr,Psychic,62,48,54,63,60,68
Meowstic,Psychic,74,48,76,83,81,104
Oranguru,Normal|Psychic,90,60,80,90,110,60
Indeedee,Psychic|Normal,60,65,55,105,95,95
