Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Geodude,Rock|Ground,40,80,100,30,30,20
Graveler,Rock|Ground,55,95,115,45,45,35
Golem,Rock|Ground,80,120,130,55,65,45
Onix,Rock|Ground,35,45,160,30,45,70
Rhyhorn,Ground|Rock,80,85,95,30,30,25
Rhydon,Ground|Rock,105,130,120,45,45,40
Kabuto,Rock|Water,30,80,90,55,45,55
Kabutops,Rock|Water,60,115,105,65,70,80
Omanyte,Rock|Water,35,40,100,90,55,35
Omastar,Rock|Water,70,60,125,115,70,55
Aerodactyl,Rock|Flying,80,105,65,60,75,130
Sudowoodo,Rock,70,100,115,30,65,30
Shuckle,Bug|Rock,20,10,230,10,230,5
Magcargo,Fire|Rock,50,50,120,80,80,30
Corsola,Water|Rock,55,55,85,65,85,35
Larvitar,Rock|Ground,50,64,50,45,50,41
Pupitar,Rock|Ground,70,84,70,65,70,51
Tyranitar,Rock|Dark,100,134,110,95,100,61
Nosepass,Rock,30,45,135,45,90,30
Aron,Steel|Rock,50,70,100,40,40,30
Lairon,Steel|Rock,60,90,140,50,50,40
Aggron,Steel|Rock,70,110,180,60,60,50
Lunatone,Rock|Psychic,70,55,65,95,85,70
Solrock,Rock|Psychic,70,95,85,55,65,70
Lileep,Rock|Grass,66,41,77,61,87,23
Cradily,Rock|Grass,86,81,97,81,107,43
Anorith,Rock|Bug,45,95,50,40,50,75
Armaldo,Rock|Bug,75,125,100,70,80,45
Relicanth,Water|Rock,100,90,130,45,65,55
Bonsly,Rock,50,80,95,10,45,10
Rampardos,Rock,97,165,60,65,50,58
Shieldon,Rock|Steel,30,42,118,42,88,30
Bastiodon,Rock|Steel,60,52,168,47,138,30
Rhyperior,Ground|Rock,115,140,130,55,55,40
Roggenrola,Rock,55,75,85,25,25,15
Boldore,Rock,70,105,105,50,40,20
Gigalith,Rock,85,135,130,60,80,25
Archen,Rock|Flying,55,112,45,74,45,70
Archeops,Rock|Flying,75,140,65,112,65,110
Tirtouga,Water|Rock,54,78,103,53,45,22
Carracosta,Water|Rock,74,108,133,83,65,32
Binacle,Rock|Water,42,52,67,39,56,50
Barbaracle,Rock|Water,72,105,115,54,86,68
Tyrunt,Rock|Dragon,58,89,77,45,45,48
Tyrantrum,Rock|Dragon,82,121,119,69,59,71
Amaura,Rock|Ice,77,59,50,67,63,46
Aurorus,Rock|Ice,123,77,72,99,92,58
Dwebble,Bug|Rock,50,65,85,35,35,55
Crustle,Bug|Rock,70,105,125,65,75,45
