Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Magnemite,Electric|Steel,25,35,70,95,55,45
Magneton,Electric|Steel,50,60,95,120,70,70
Forretress,Bug|Steel,75,90,140,60,60,40
Steelix,Steel|Ground,75,85,200,55,65,30
Scizor,Bug|Steel,70,130,100,55,80,65
Skarmory,Steel|Flying,65,80,140,40,70,70
Mawile,Steel|Fairy,50,85,85,55,55,50
Aron,Steel|Rock,50,70,100,40,40,30
Lairon,Steel|Rock,60,90,140,50,50,40
Aggron,Steel|Rock,70,110,180,60,60,50
Beldum,Steel|Psychic,40,55,80,35,60,30
Metang,Steel|Psychic,60,75,100,55,80,50
Metagross,Steel|Psychic,80,135,130,95,90,70
Registeel,Steel,80,75,150,75,150,50
Jirachi,Steel|Psychic,100,100,100,100,100,100
Bronzor,Steel|Psychic,57,24,86,24,86,23
Bronzong,Steel|Psychic,67,89,116,79,116,33
Lucario,Fighting|Steel,70,110,70,115,70,90
Magnezone,Electric|Steel,70,70,115,130,90,60
Probopass,Rock|Steel,60,55,145,75,150,40
Dialga,Steel|Dragon,100,120,120,150,100,90
Wormadam (Trash Cloak),Bug|Steel,60,69,95,69,95,36
Excadrill,Ground|Steel,110,135,60,50,65,88
Escavalier,Bug|Steel,70,135,105,60,105,20
Ferroseed,Grass|Steel,44,50,91,24,86,10
Ferrothorn,Grass|Steel,74,94,131,54,116,20
Klink,Steel,40,55,70,45,60,30
Klang,Steel,60,80,95,70,85,50
Klinklang,Steel,60,100,115,70,85,90
Pawniard,Dark|Steel,45,85,70,40,40,60
Bisharp,Dark|Steel,65,125,100,60,70,70
Durant,Bug|Steel,58,109,112,48,48,109
Cobalion,Steel|Fighting,91,90,129,90,72,108
Genesect,Bug|Steel,71,120,95,120,95,99
Honedge,Steel|Ghost,45,80,100,35,37,28
Doublade,Steel|Ghost,59,110,150,45,49,35
Aegislash,Steel|Ghost,60,50,140,50,140,60
Klefki,Steel|Fairy,57,80,91,80,87,75
Togedemaru,Electric|Steel,65,98,63,40,73,96
Celesteela,Steel|Flying,97,101,103,107,101,61
Solgaleo,Psychic|Steel,137,137,107,113,89,97
Magearna,Steel|Fairy,80,95,115,130,115,65
Meltan,Steel,46,65,65,55,35,34
Melmetal,Steel,135,143,143,80,65,34
Cufant,Steel,72,80,49,40,49,40
Copperajah,Steel,122,130,69,80,69,30
Duraludon,Steel|Dragon,70,95,115,120,50,85
Zacian (Crowned Sword),Fairy|Steel,92,170,115,80,115,148
Zamazenta (Crowned Shield),Fighting|Steel,92,130,145,80,145,128
