Pokemon,Type,baseHP,baseATK,baseDEF,baseSPA,baseSPD,baseSPE
Squirtle,Water,44,48,65,50,64,43
Wartortle,Water,59,63,80,65,80,58
Blastoise,Water,79,83,100,85,105,78
Psyduck,Water,50,52,48,65,50,55
Golduck,Water,80,82,78,95,80,85
Poliwag,Water,40,50,40,40,40,90
Poliwhirl,Water,65,65,65,50,50,90
Poliwrath,Water|Fighting,90,95,95,70,90,70
Tentacool,Water|Poison,40,40,35,50,100,70
Tentacruel,Water|Poison,80,70,65,80,120,100
Slowpoke,Water|Psychic,90,65,65,40,40,15
Slowbro,Water|Psychic,95,75,110,100,80,30
Seel,Water,65,45,55,45,70,45
Dewgong,Water|Ice,90,70,80,70,95,70
Shellder,Water,30,65,100,45,25,40
Cloyster,Water|Ice,50,95,180,85,45,70
Krabby,Water,30,105,90,25,25,50
Kingler,Water,55,130,115,50,50,75
Horsea,Water,30,40,70,70,25,60
Seadra,Water,55,65,95,95,45,85
Goldeen,Water,45,67,60,35,50,63
Seaking,Water,80,92,65,65,80,68
Staryu,Water,30,45,55,70,55,85
Starmie,Water|Psychic,60,75,85,100,85,115
Magikarp,Water,20,10,55,15,20,80
Gyarados,Water|Flying,95,125,79,60,100,81
Lapras,Water|Ice,130,85,80,85,95,60
Vaporeon,Water,130,65,60,110,95,65
Omanyte,Rock|Water,35,40,100,90,55,35
Omastar,Rock|Water,70,60,125,115,70,55
Kabuto,Rock|Water,30,80,90,55,45,55
Kabutops,Rock|Water,60,115,105,65,70,80
Totodile,Water,50,65,64,44,48,43
Croconaw,Water,65,80,80,59,63,58
Feraligatr,Water,85,105,100,79,83,78
Chinchou,Water|Electric,75,38,38,56,56,67
Lanturn,Water|Electric,125,58,58,76,76,67
Marill,Water|Fairy,70,20,50,20,50,40
Azumarill,Water|Fairy,100,50,80,60,80,50
Politoed,Water,90,75,75,90,100,70
Wooper,Water|Ground,55,45,45,25,25,15
Quagsire,Water|Ground,95,85,85,65,65,35
Slowking,Water|Psychic,95,75,80,100,110,30
Qwilfish,Water|Poison,65,95,85,55,55,85
Corsola,Water|Rock,65,55,95,65,95,35
Remoraid,Water,35,65,35,65,35,65
Octillery,Water,75,105,75,105,75,45
Mantine,Water|Flying,85,40,70,80,140,70
Kingdra,Water|Dragon,75,95,95,95,95,85
